File,Var,Pop,Question,Qual,Qual2
NHGIS,AJ6AA,Foreign Born,Place of Birth,Europe,Northern
NHGIS,AJ6AB,Foreign Born,Place of Birth,Europe,Northern
NHGIS,AJ6AC,Foreign Born,Place of Birth,Europe,Northern
NHGIS,AJ6AD,Foreign Born,Place of Birth,Europe,Northern
NHGIS,AJ6AE,Foreign Born,Place of Birth,Europe,Northern
NHGIS,AJ6AF,Foreign Born,Place of Birth,Europe,Western
NHGIS,AJ6AG,Foreign Born,Place of Birth,Europe,Western
NHGIS,AJ6AH,Foreign Born,Place of Birth,Europe,Western
NHGIS,AJ6AI,Foreign Born,Place of Birth,Europe,Western
NHGIS,AJ6AJ,Foreign Born,Place of Birth,Europe,Western
NHGIS,AJ6AK,Foreign Born,Place of Birth,Europe,Southern
NHGIS,AJ6AL,Foreign Born,Place of Birth,Europe,Southern
NHGIS,AJ6AM,Foreign Born,Place of Birth,Europe,Southern
NHGIS,AJ6AN,Foreign Born,Place of Birth,Europe,Eastern
NHGIS,AJ6AO,Foreign Born,Place of Birth,Europe,Eastern
NHGIS,AJ6AP,Foreign Born,Place of Birth,Europe,Eastern
NHGIS,AJ6AQ,Foreign Born,Place of Birth,Europe,Eastern
NHGIS,AJ6AR,Foreign Born,Place of Birth,Europe,Eastern
NHGIS,AJ6AS,Foreign Born,Place of Birth,Europe,Other
NHGIS,AJ6AT,Foreign Born,Place of Birth,Europe,former USSR
NHGIS,AJ6AU,Foreign Born,Place of Birth,Asia,Eastern
NHGIS,AJ6AV,Foreign Born,Place of Birth,Asia,Eastern
NHGIS,AJ6AW,Foreign Born,Place of Birth,Asia,Other
NHGIS,AJ6AX,Foreign Born,Place of Birth,Africa,
NHGIS,AJ6AY,Foreign Born,Place of Birth,Oceania,
NHGIS,AJ6AZ,Foreign Born,Place of Birth,Americas,Mexico/Cuba
NHGIS,AJ6BA,Foreign Born,Place of Birth,Americas,Mexico/Cuba
NHGIS,AJ6BB,Foreign Born,Place of Birth,Americas,Canada
NHGIS,AJ6BC,Foreign Born,Place of Birth,Americas,Other
NHGIS,AJ6BD,Foreign Born,Place of Birth,at sea,
NHGIS,AL8AA,Native Born,Place of Birth,In State,
NHGIS,AL8AB,Native Born,Place of Birth,Other State,total
NHGIS,AL8AC,Native Born,Place of Birth,Other State,Northeast
NHGIS,AL8AD,Native Born,Place of Birth,Other State,Midwest
NHGIS,AL8AE,Native Born,Place of Birth,Other State,South
NHGIS,AL8AF,Native Born,Place of Birth,Other State,West
NHGIS,AL8AG,Native Born,Place of Birth,Outside US,
NHGIS,AL8AH,Native Born,Place of Birth,not reported,
NHGIS,AT5AA,Native Born,Citizenship,,
NHGIS,AT5AB,Foreign Born,Citizenship,,
B25077,GEO.display-label,Geography,,,
B25077,GEO.id,Id,,,
B25077,GEO.id2,FIPS,,,
B25077,HD01_VD01,Median value (dollars),,,
B16001,GEO.display-label,Geography,,,
B16001,GEO.id,Id,,,
B16001,GEO.id2,FIPS,,,
B16001,HD01_VD01,Total,,,
B16001,HD01_VD02,Speak only English,,,
B16001,HD01_VD03,Spanish or Spanish Creole,,,
B16001,HD01_VD04,Spanish or Spanish Creole,"Speak English ""very well""",,
B16001,HD01_VD05,Spanish or Spanish Creole,"Speak English less than ""very well""",,
B16001,HD01_VD06,"French (incl. Patois, Cajun)",,,
B16001,HD01_VD07,"French (incl. Patois, Cajun)","Speak English ""very well""",,
B16001,HD01_VD08,"French (incl. Patois, Cajun)","Speak English less than ""very well""",,
B16001,HD01_VD09,French Creole,,,
B16001,HD01_VD10,French Creole,"Speak English ""very well""",,
B16001,HD01_VD100,Navajo,"Speak English ""very well""",,
B16001,HD01_VD101,Navajo,"Speak English less than ""very well""",,
B16001,HD01_VD102,Other Native North American languages,,,
B16001,HD01_VD103,Other Native North American languages,"Speak English ""very well""",,
B16001,HD01_VD104,Other Native North American languages,"Speak English less than ""very well""",,
B16001,HD01_VD105,Hungarian,,,
B16001,HD01_VD106,Hungarian,"Speak English ""very well""",,
B16001,HD01_VD107,Hungarian,"Speak English less than ""very well""",,
B16001,HD01_VD108,Arabic,,,
B16001,HD01_VD109,Arabic,"Speak English ""very well""",,
B16001,HD01_VD11,French Creole,"Speak English less than ""very well""",,
B16001,HD01_VD110,Arabic,"Speak English less than ""very well""",,
B16001,HD01_VD111,Hebrew,,,
B16001,HD01_VD112,Hebrew,"Speak English ""very well""",,
B16001,HD01_VD113,Hebrew,"Speak English less than ""very well""",,
B16001,HD01_VD114,African languages,,,
B16001,HD01_VD115,African languages,"Speak English ""very well""",,
B16001,HD01_VD116,African languages,"Speak English less than ""very well""",,
B16001,HD01_VD117,Other and unspecified languages,,,
B16001,HD01_VD118,Other and unspecified languages,"Speak English ""very well""",,
B16001,HD01_VD119,Other and unspecified languages,"Speak English less than ""very well""",,
B16001,HD01_VD12,Italian,,,
B16001,HD01_VD13,Italian,"Speak English ""very well""",,
B16001,HD01_VD14,Italian,"Speak English less than ""very well""",,
B16001,HD01_VD15,Portuguese or Portuguese Creole,,,
