GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,AT5AA,AT5AB,AL8AA,AL8AB,AL8AC,AL8AD,AL8AE,AL8AF,AL8AG,AL8AH,AJ6AA,AJ6AB,AJ6AC,AJ6AD,AJ6AE,AJ6AF,AJ6AG,AJ6AH,AJ6AI,AJ6AJ,AJ6AK,AJ6AL,AJ6AM,AJ6AN,AJ6AO,AJ6AP,AJ6AQ,AJ6AR,AJ6AS,AJ6AT,AJ6AU,AJ6AV,AJ6AW,AJ6AX,AJ6AY,AJ6AZ,AJ6BA,AJ6BB,AJ6BC,AJ6BD,AT5AAM,AT5ABM,AL8AAM,AL8ABM,AL8ACM,AL8ADM,AL8AEM,AL8AFM,AL8AGM,AJ6AAM,AJ6ABM,AJ6ACM,AJ6ADM,AJ6AEM,AJ6AFM,AJ6AGM,AJ6AHM,AJ6AIM,AJ6AJM,AJ6AKM,AJ6ALM,AJ6AMM,AJ6ANM,AJ6AOM,AJ6APM,AJ6AQM,AJ6ARM,AJ6ASM,AJ6ATM,AJ6AUM,AJ6AVM,AJ6AWM,AJ6AXM,AJ6AYM,AJ6AZM,AJ6BAM,AJ6BBM,AJ6BCM
"G0100010","1970","Alabama","01","Autauga","001","Autauga",24387,73,19448,3778,444,559,2510,265,151,953,0,0,0,0,28,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,13,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100030","1970","Alabama","01","Baldwin","003","Baldwin",58597,785,44418,11587,933,3301,6887,466,214,2389,13,14,7,8,73,34,0,153,5,12,50,20,7,65,73,0,0,24,19,22,0,8,27,0,0,6,23,75,12,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100050","1970","Alabama","01","Barbour","005","Barbour",22477,66,19501,2254,97,211,1870,76,59,678,0,0,0,0,0,0,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100070","1970","Alabama","01","Bibb","007","Bibb",13791,21,12737,565,44,123,365,33,12,482,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100090","1970","Alabama","01","Blount","009","Blount",26843,10,24500,1533,89,311,1098,35,10,802,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100110","1970","Alabama","01","Bullock","011","Bullock",11824,0,11040,472,25,79,348,20,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100130","1970","Alabama","01","Butler","013","Butler",21979,28,20204,1050,91,181,706,72,23,708,0,0,0,0,0,0,0,11,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100150","1970","Alabama","01","Calhoun","015","Calhoun",102513,579,79800,18157,2041,2978,11793,1345,751,3710,0,0,0,0,66,14,18,195,5,0,0,17,0,6,0,12,19,0,12,8,19,12,50,0,0,43,23,19,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100170","1970","Alabama","01","Chambers","017","Chambers",36320,36,31915,3281,82,153,2974,72,4,1127,0,0,0,0,22,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100190","1970","Alabama","01","Cherokee","019","Cherokee",15601,5,13760,1356,26,85,1211,34,3,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100210","1970","Alabama","01","Chilton","021","Chilton",25107,73,23287,1045,84,229,679,53,32,751,0,0,0,11,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
